lat,lon,elevation_m,distance_km,grade_percent
36.390067,-116.849932,-69.9,31.693,1.999999999999858
36.390653,-116.849385,-69.0,31.779,1.0465116279070013
36.391179,-116.848868,-68.2,31.856,1.038961038961012
36.391649,-116.84843,-67.3,31.925,1.3043478260869825
36.391894,-116.848244,-66.5,31.958,2.424242424242585
36.392073,-116.848155,-65.6,31.98,4.090909090908741
36.392211,-116.848111,-64.8,31.997,4.705882352941309
36.392516,-116.848045,-64.0,32.032,2.2857142857145005
36.393117,-116.847964,-63.1,32.102,1.2857142857142785
36.396625,-116.847483,-62.3,32.512,0.19512195121951148
36.400896,-116.846824,-61.4,33.01,0.18072289156626567
36.404066,-116.846363,-60.6,33.38,0.2162162162162128
36.404891,-116.846232,-59.8,33.477,0.8247422680412907
36.4088,-116.845657,-58.9,33.934,0.1969365426695836
36.409182,-116.845612,-58.1,33.978,1.818181818181645
36.409976,-116.845561,-57.2,34.071,0.9677419354839067
36.410386,-116.845551,-56.4,34.117,1.7391304347826417
36.411276,-116.845573,-55.5,34.221,0.8653846153846206
36.411981,-116.845636,-54.7,34.303,0.9756097560975486
36.412325,-116.845683,-54.6,34.343,0.24999999999996447
36.412852,-116.845768,-54.5,34.404,0.16393442622951065
36.413673,-116.845946,-54.3,34.501,0.20618556701032456
36.415434,-116.846394,-54.2,34.71,0.04784688995214966
36.416302,-116.846605,-54.1,34.812,0.09803921568627902
36.420493,-116.847696,-54.0,35.308,0.02016129032258084
36.420653,-116.847725,-53.9,35.327,0.5263157894737374
36.422875,-116.848275,-53.7,35.59,0.07604562737642272
36.423706,-116.848488,-53.6,35.689,0.10101010101010587
36.424521,-116.848701,-53.5,35.785,0.10416666666667192
36.425536,-116.84894,-53.4,35.905,0.08333333333333136
36.426135,-116.849131,-53.3,35.976,0.14084507042254127
36.42659,-116.849332,-53.1,36.033,0.35087719298243536
36.426835,-116.849433,-53.0,36.062,0.3448275862069447
36.427196,-116.849627,-52.9,36.108,0.2173913043478321
36.427501,-116.849818,-52.8,36.147,0.25641025641025034
36.427799,-116.850009,-52.7,36.186,0.25641025641023213
36.428352,-116.850447,-52.6,36.262,0.13157894736842204
36.430272,-116.85194,-52.4,36.525,0.07604562737642748
36.430434,-116.852061,-52.3,36.547,0.45454545454549267
36.430513,-116.852105,-52.2,36.557,0.9999999999994316
36.430679,-116.852183,-52.1,36.577,0.5000000000001066
36.430889,-116.852218,-52.0,36.602,0.40000000000002844
36.431107,-116.852223,-51.8,36.627,0.7999999999998295
36.431237,-116.852206,-51.7,36.643,0.6250000000000333
36.431456,-116.852133,-51.6,36.669,0.3846153846154456
36.431684,-116.852004,-50.2,36.698,4.82758620689597
36.432249,-116.851555,-48.8,36.775,1.8181818181818683
36.432422,-116.851435,-47.3,36.798,6.521739130433864
36.432588,-116.851349,-45.9,36.819,6.666666666666407
36.43276,-116.851292,-44.5,36.84,6.666666666666407
36.432933,-116.851246,-43.1,36.861,6.666666666668664
36.433133,-116.851237,-41.7,36.884,6.086956521738267
36.433748,-116.851257,-40.2,36.955,2.1126760563380893
36.437777,-116.851458,-38.8,37.423,0.29914529914529814
36.438015,-116.851495,-37.4,37.451,5.000000000000228
36.438153,-116.851538,-36.0,37.466,9.33333333333297
36.438291,-116.851589,-34.6,37.483,8.235294117649033
36.438512,-116.851692,-33.1,37.511,5.357142857141748
36.438996,-116.851946,-31.7,37.572,2.2950819672131204
36.439229,-116.852051,-30.3,37.601,4.827586206897153
36.439453,-116.852108,-28.9,37.627,5.384615384614698
36.439644,-116.852137,-27.5,37.649,6.363636363636801
36.439861,-116.852137,-26.1,37.675,5.384615384616156
36.44015,-116.852067,-24.6,37.708,4.5454545454543736
36.440434,-116.85195,-23.2,37.744,3.888888888888747
36.440654,-116.851844,-21.8,37.771,5.1851851851849835
36.440832,-116.851744,-20.4,37.794,6.086956521740163
36.441175,-116.851604,-19.0,37.835,3.4146341463411334
36.44138,-116.851553,-17.5,37.859,6.249999999999764
36.441578,-116.85152,-16.1,37.882,6.086956521740147
36.442672,-116.851469,-14.7,38.01,1.0937500000000007
36.444121,-116.851394,-14.9,38.177,-0.11976047904191567
36.444523,-116.851392,-15.0,38.224,-0.21276595744682114
36.444652,-116.851403,-15.2,38.239,-1.333333333333278
36.444909,-116.85146,-15.4,38.269,-0.666666666666645
36.445221,-116.851557,-15.6,38.307,-0.5263157894736296
36.445552,-116.851631,-15.7,38.345,-0.263157894736864
36.445853,-116.851663,-15.9,38.381,-0.5555555555555375
36.446758,-116.851676,-16.1,38.486,-0.19047619047619715
36.446973,-116.851708,-16.3,38.511,-0.7999999999998153
36.447136,-116.851753,-16.4,38.53,-0.5263157894737186
36.447269,-116.851819,-16.6,38.547,-1.1764705882355941
36.447434,-116.851908,-16.8,38.567,-0.9999999999998401
36.447622,-116.852045,-16.9,38.592,-0.40000000000001423
36.447986,-116.852351,-17.1,38.643,-0.39215686274508876
36.448235,-116.852584,-17.3,38.68,-0.5405405405405527
36.448356,-116.852699,-17.5,38.698,-1.111111111111065
36.448401,-116.852773,-17.6,38.706,-1.2499999999996003
36.448329,-116.853028,-17.8,38.731,-0.8000000000000427
36.448274,-116.853338,-18.0,38.761,-0.666666666666639
36.448251,-116.85365,-18.2,38.79,-0.6896551724138772
36.448253,-116.853944,-18.3,38.818,-0.3571428571428789
36.448278,-116.854258,-18.5,38.847,-0.6896551724137082
36.448321,-116.854515,-18.7,38.872,-0.8000000000000427
36.448406,-116.854839,-18.9,38.903,-0.6451612903226032
36.448819,-116.856123,-19.0,39.032,-0.07751937984496368
36.449635,-116.858714,-19.2,39.292,-0.07692307692307514
36.449869,-116.859409,-20.4,39.362,-1.7142857142857064
36.450002,-116.859774,-21.6,39.399,-3.243243243243336
36.450118,-116.860039,-22.8,39.428,-4.137931034483276
36.450261,-116.860345,-24.0,39.461,-3.636363636363497
36.450466,-116.86073,-25.2,39.504,-2.790697674418651
36.450731,-116.861191,-26.4,39.557,-2.264150943396038
36.451025,-116.861647,-27.5,39.611,-2.0370370370372304
36.451331,-116.862078,-28.7,39.664,-2.264150943396038
36.451773,-116.862608,-29.9,39.736,-1.6666666666667669
36.452213,-116.863064,-31.1,39.802,-1.8181818181817535
36.452548,-116.863361,-32.3,39.85,-2.4999999999998965
36.452996,-116.863726,-33.5,39.912,-1.935483870967821
36.453096,-116.863802,-34.7,39.926,-8.571428571426818
36.453235,-116.863906,-35.9,39.945,-6.315789473684736
36.453503,-116.864083,-37.1,39.979,-3.529411764706003
36.453757,-116.864229,-38.3,40.012,-3.6363636363634857
