lat,lon,elevation_m,distance_km
36.501666,-116.875441,-57.1,44.049
36.501862,-116.87548,-57.4,44.071
36.50215,-116.875547,-57.7,44.104
36.502601,-116.8757,-58.1,44.156
36.502875,-116.875815,-58.4,44.188
36.50318,-116.875977,-58.7,44.225
36.5034,-116.876115,-59.0,44.252
36.503652,-116.876299,-59.3,44.285
36.504442,-116.876908,-59.6,44.388
36.504931,-116.877274,-60.0,44.452
36.505311,-116.877527,-60.3,44.5
36.505942,-116.877911,-60.6,44.578
36.506685,-116.878329,-60.9,44.668
36.507503,-116.8788,-61.0,44.769
36.51054,-116.880518,-61.2,45.14
36.510851,-116.880683,-61.3,45.177
36.51158,-116.881046,-61.4,45.265
36.512145,-116.881294,-61.6,45.331
36.513071,-116.881632,-61.7,45.438
36.51351,-116.881768,-61.8,45.489
36.513983,-116.881858,-61.9,45.542
36.514301,-116.881891,-62.1,45.577
36.514699,-116.881907,-62.2,45.622
36.514987,-116.881893,-62.3,45.654
36.515333,-116.881852,-62.5,45.692
36.515723,-116.881784,-62.6,45.736
36.516761,-116.881555,-62.7,45.853
36.517108,-116.881494,-62.9,45.892
36.51752,-116.881443,-63.0,45.938
36.517871,-116.881417,-63.1,45.978
36.51838,-116.881407,-63.3,46.034
36.518822,-116.881456,-63.4,46.083
36.519279,-116.881528,-63.5,46.135
36.519651,-116.881606,-63.6,46.177
36.521413,-116.882111,-63.8,46.378
36.522232,-116.882335,-63.9,46.471
36.522972,-116.88249,-64.0,46.554
36.523621,-116.882595,-64.2,46.627
36.52576,-116.882838,-64.3,46.866
36.52652,-116.882889,-64.5,46.951
36.527101,-116.882903,-64.7,47.015
36.527725,-116.882888,-64.8,47.085
36.528155,-116.88285,-65.0,47.133
36.530461,-116.88259,-65.2,47.39
36.530985,-116.882562,-65.4,47.448
36.531387,-116.882569,-65.5,47.493
36.532262,-116.882667,-65.7,47.591
36.532573,-116.882736,-65.9,47.626
36.532969,-116.882846,-66.1,47.671
36.5347,-116.883481,-66.2,47.872
36.535555,-116.883726,-66.4,47.969
36.539973,-116.884885,-66.6,48.471
36.541162,-116.885201,-66.8,48.606
36.541445,-116.885287,-67.0,48.639
36.541763,-116.885408,-67.1,48.676
36.542124,-116.885554,-67.3,48.718
36.542513,-116.885751,-67.5,48.765
36.542971,-116.886019,-67.7,48.821
36.543264,-116.886218,-67.8,48.858
36.543665,-116.886523,-68.0,48.91
36.543946,-116.886764,-68.2,48.948
36.544256,-116.887068,-68.4,48.992
36.545625,-116.888551,-68.5,49.194
36.546024,-116.888952,-68.7,49.251
36.546671,-116.889529,-68.9,49.34
36.547139,-116.889904,-69.0,49.401
